Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 1GM BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,TIANJIN KINGYORK,"Apr 20, 2021",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 1GM BASE/VIAL||INJECTABLE||INJECTION,eq 1 gm base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 2GM BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,TIANJIN KINGYORK,"Apr 20, 2021",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 2GM BASE/VIAL||INJECTABLE||INJECTION,eq 2 gm base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 2GM BASE/VIAL,SOLU-MEDROL,PHARMACIA AND UPJOHN,"Feb 27, 1985",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 2GM BASE/VIAL||INJECTABLE||INJECTION,eq 2 gm base/vial,,,
PREDNISONE,SOLUTION,ORAL,5MG/5ML,PREDNISONE,HIKMA,"Nov 8, 1984",PREDNISONE||5MG/5ML||SOLUTION||ORAL,5 mg/5 ml,,,
PREDNISONE,SOLUTION,ORAL,5MG/ML,PREDNISONE INTENSOL,HIKMA,"Feb 20, 1985",PREDNISONE||5MG/ML||SOLUTION||ORAL,5 mg/ml,,,
PREDNISONE,TABLET,ORAL,1MG,PREDNISONE,AMNEAL,"Jun 16, 2020",PREDNISONE||1MG||TABLET||ORAL,1 mg,,,
PREDNISONE,TABLET,ORAL,5MG,PREDNISONE,AMNEAL,"Jun 16, 2020",PREDNISONE||5MG||TABLET||ORAL,5 mg,,,
PREDNISONE,TABLET,ORAL,10MG,PREDNISONE,AMNEAL,"Jun 24, 2020",PREDNISONE||10MG||TABLET||ORAL,10 mg,,,
PREDNISONE,TABLET,ORAL,20MG,PREDNISONE,AMNEAL,"Jun 24, 2020",PREDNISONE||20MG||TABLET||ORAL,20 mg,,,
PREDNISONE,TABLET,ORAL,1MG,PREDNISONE,AUROBINDO PHARMA LTD,"Nov 16, 2021",PREDNISONE||1MG||TABLET||ORAL,1 mg,,,
PREDNISONE,TABLET,ORAL,2.5MG,PREDNISONE,AUROBINDO PHARMA LTD,"Mar 28, 2022",PREDNISONE||2.5MG||TABLET||ORAL,2.5 mg,,,
PREDNISONE,TABLET,ORAL,5MG,PREDNISONE,AUROBINDO PHARMA LTD,"Mar 28, 2022",PREDNISONE||5MG||TABLET||ORAL,5 mg,,,
PREDNISONE,TABLET,ORAL,10MG,PREDNISONE,AUROBINDO PHARMA LTD,"Mar 28, 2022",PREDNISONE||10MG||TABLET||ORAL,10 mg,,,
PREDNISONE,TABLET,ORAL,20MG,PREDNISONE,AUROBINDO PHARMA LTD,"Mar 28, 2022",PREDNISONE||20MG||TABLET||ORAL,20 mg,,,
PREDNISONE,TABLET,ORAL,50MG,PREDNISONE,AUROBINDO PHARMA LTD,"Mar 28, 2022",PREDNISONE||50MG||TABLET||ORAL,50 mg,,,
PREDNISONE,TABLET,ORAL,1MG,PREDNISONE,JUBILANT CADISTA,"Jun 6, 2005",PREDNISONE||1MG||TABLET||ORAL,1 mg,,,
PREDNISONE,TABLET,ORAL,2.5MG,PREDNISONE,JUBILANT CADISTA,"Apr 17, 2023",PREDNISONE||2.5MG||TABLET||ORAL,2.5 mg,,,
PREDNISONE,TABLET,ORAL,5MG,PREDNISONE,JUBILANT CADISTA,"Aug 29, 2001",PREDNISONE||5MG||TABLET||ORAL,5 mg,,,
PREDNISONE,TABLET,ORAL,10MG,PREDNISONE,JUBILANT CADISTA,"Aug 29, 2001",PREDNISONE||10MG||TABLET||ORAL,10 mg,,,
PREDNISONE,TABLET,ORAL,20MG,PREDNISONE,JUBILANT CADISTA,"Jun 29, 2005",PREDNISONE||20MG||TABLET||ORAL,20 mg,,,
PREDNISONE,TABLET,ORAL,50MG,PREDNISONE,JUBILANT CADISTA,"Apr 17, 2023",PREDNISONE||50MG||TABLET||ORAL,50 mg,,,
PREDNISONE,TABLET,ORAL,1MG,PREDNISONE,NOVITIUM PHARMA,"Jul 6, 2021",PREDNISONE||1MG||TABLET||ORAL,1 mg,,,
PREDNISONE,TABLET,ORAL,2.5MG,PREDNISONE,NOVITIUM PHARMA,"Nov 15, 2019",PREDNISONE||2.5MG||TABLET||ORAL,2.5 mg,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.025%,TRIAMCINOLONE ACETONIDE,ALKEM LABS LTD,"Dec 26, 2017",TRIAMCINOLONE ACETONIDE||0.025%||CREAM||TOPICAL,0.025%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIAMCINOLONE ACETONIDE,ALKEM LABS LTD,"Dec 26, 2017",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.5%,TRIAMCINOLONE ACETONIDE,ALKEM LABS LTD,"Dec 26, 2017",TRIAMCINOLONE ACETONIDE||0.5%||CREAM||TOPICAL,0.5%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.025%,TRIAMCINOLONE ACETONIDE,CHARTWELL RX,"Feb 1, 2017",TRIAMCINOLONE ACETONIDE||0.025%||CREAM||TOPICAL,0.025%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIAMCINOLONE ACETONIDE,CHARTWELL RX,"Feb 1, 2017",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.5%,TRIAMCINOLONE ACETONIDE,CHARTWELL RX,"Feb 1, 2017",TRIAMCINOLONE ACETONIDE||0.5%||CREAM||TOPICAL,0.5%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.025%,TRIAMCINOLONE ACETONIDE,COSETTE,"May 31, 1991",TRIAMCINOLONE ACETONIDE||0.025%||CREAM||TOPICAL,0.025%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIAMCINOLONE ACETONIDE,COSETTE,"May 31, 1991",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIAMCINOLONE ACETONIDE,ENCUBE,"Sep 18, 2017",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.025%,TRIAMCINOLONE ACETONIDE,MACLEODS PHARMS LTD,"May 18, 2018",TRIAMCINOLONE ACETONIDE||0.025%||CREAM||TOPICAL,0.025%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIAMCINOLONE ACETONIDE,MACLEODS PHARMS LTD,"May 18, 2018",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.5%,TRIAMCINOLONE ACETONIDE,MACLEODS PHARMS LTD,"May 18, 2018",TRIAMCINOLONE ACETONIDE||0.5%||CREAM||TOPICAL,0.5%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.025%,TRIAMCINOLONE ACETONIDE,MICRO LABS,"Jun 9, 2006",TRIAMCINOLONE ACETONIDE||0.025%||CREAM||TOPICAL,0.025%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIAMCINOLONE ACETONIDE,MICRO LABS,"Jun 9, 2006",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIAMCINOLONE ACETONIDE,TARO,"Nov 26, 1997",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.025%,TRIDERM,CROWN LABS,"Mar 25, 2015",TRIAMCINOLONE ACETONIDE||0.025%||CREAM||TOPICAL,0.025%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.1%,TRIDERM,CROWN LABS,"Mar 19, 1984",TRIAMCINOLONE ACETONIDE||0.1%||CREAM||TOPICAL,0.1%,,,
TRIAMCINOLONE ACETONIDE,CREAM,TOPICAL,0.5%,TRIDERM,CROWN LABS,"Mar 25, 2015",TRIAMCINOLONE ACETONIDE||0.5%||CREAM||TOPICAL,0.5%,,,
TRIAMCINOLONE ACETONIDE,INJECTABLE,INJECTION,40MG/ML,TRIAMCINOLONE ACETONIDE,ALEMBIC,"Oct 17, 2025",TRIAMCINOLONE ACETONIDE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
TRIAMCINOLONE ACETONIDE,INJECTABLE,INJECTION,40MG/ML,TRIAMCINOLONE ACETONIDE,AMNEAL,"Dec 11, 2017",TRIAMCINOLONE ACETONIDE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
